vehicle_id,terrain_class,method,model_tag,count,success_rate,path_length_mean,risk_max_mean,risk_avg_mean,expanded_nodes_mean,planning_time_ms_mean
standard_offroad,uniform_slope,proposed_ml_risk_constrained_astar,compare,3,0.3333333333333333,10.480150893977513,0.5755699276924133,0.4208631543652538,3274.0,4063.594101000035
standard_offroad,uniform_slope,proposed_ml_risk_constrained_astar,main,3,0.3333333333333333,10.480150893977513,0.5217283368110657,0.39592956206620655,3208.0,4711.066008999751
urban_small,bumps,baseline1_2p5d_astar,none,3,1.0,10.066325212186465,0.0,0.0,118.66666666666667,2.2020233333629826
urban_small,bumps,baseline2_manual_risk_weighted_astar,none,3,1.0,10.387248229014958,0.5303465869159453,0.25164271484124007,7280.0,6027.531335666481
urban_small,bumps,baseline3_ml_risk_weighted_astar,compare,3,1.0,10.200704650796624,0.29918456077575684,0.18056962340445962,5763.666666666667,24633.424335333377
urban_small,bumps,baseline3_ml_risk_weighted_astar,main,3,1.0,10.202364092403158,0.31501105427742004,0.18573076089774074,5844.666666666667,29699.3819459996
urban_small,bumps,proposed_ml_risk_constrained_astar,compare,3,1.0,10.066325212186465,0.36067041754722595,0.218971182177921,189.33333333333334,295.15479066670497
urban_small,bumps,proposed_ml_risk_constrained_astar,main,3,1.0,10.066325212186465,0.34822384516398114,0.22498214764006774,207.0,356.4984953335018
urban_small,flat,baseline1_2p5d_astar,none,3,1.0,10.000000149011612,0.0,0.0,25.0,0.8179613334201955
urban_small,flat,baseline2_manual_risk_weighted_astar,none,3,1.0,10.000000149011612,0.0,0.0,25.0,24.71615033330939
urban_small,flat,baseline3_ml_risk_weighted_astar,compare,3,1.0,10.000000149011612,0.008962730256219706,0.008962730256219706,162.33333333333334,299.13660366673867
urban_small,flat,baseline3_ml_risk_weighted_astar,main,3,1.0,10.000000149011612,0.010847104092439016,0.010847104092439016,200.0,432.276313666686
urban_small,flat,proposed_ml_risk_constrained_astar,compare,3,1.0,10.000000149011612,0.008962730256219706,0.008962730256219706,25.0,66.9124546667869
urban_small,flat,proposed_ml_risk_constrained_astar,main,3,1.0,10.000000149011612,0.010847104092439016,0.010847104092439016,25.0,77.37102233325761
urban_small,lateral_pits,baseline1_2p5d_astar,none,3,1.0,10.174816319064563,0.0,0.0,402.6666666666667,10.8709243334791
urban_small,lateral_pits,baseline2_manual_risk_weighted_astar,none,3,0.0,nan,nan,nan,nan,nan
urban_small,lateral_pits,baseline3_ml_risk_weighted_astar,compare,3,1.0,10.28135403909821,0.462718000014623,0.3094132176142812,10873.333333333334,42183.50791900017
urban_small,lateral_pits,baseline3_ml_risk_weighted_astar,main,3,1.0,10.265909862225941,0.482749064763387,0.301099460591245,10345.0,51180.96496999988
urban_small,lateral_pits,proposed_ml_risk_constrained_astar,compare,3,1.0,10.174816319064563,0.46525190273920697,0.33960888698246344,1158.6666666666667,1660.2055280000059
urban_small,lateral_pits,proposed_ml_risk_constrained_astar,main,3,1.0,10.174816319064563,0.4729114770889282,0.3279617838310345,1205.0,1936.6303343334341
urban_small,lateral_slope,baseline1_2p5d_astar,none,3,1.0,10.135545226466713,0.0,0.0,248.0,3.9765620000859294
urban_small,lateral_slope,baseline2_manual_risk_weighted_astar,none,3,1.0,10.506959145438858,0.7830129805006205,0.43206783362423756,11529.0,8365.828260333425
urban_small,lateral_slope,baseline3_ml_risk_weighted_astar,compare,3,1.0,10.312597217896924,0.4914095103740692,0.313523011883307,9973.0,30080.315392333276
urban_small,lateral_slope,baseline3_ml_risk_weighted_astar,main,3,1.0,10.337805972456868,0.4788922667503357,0.30382596087149166,9255.0,32314.113380666644
urban_small,lateral_slope,proposed_ml_risk_constrained_astar,compare,3,1.0,10.135545226466713,0.5034143328666687,0.3688336926096585,637.3333333333334,744.3649440000021
urban_small,lateral_slope,proposed_ml_risk_constrained_astar,main,3,1.0,10.137980868445082,0.5024827718734741,0.36653360087834286,664.0,881.5518606666046
urban_small,mixed_random,baseline1_2p5d_astar,none,3,1.0,10.260866235079495,0.0,0.0,432.6666666666667,23.77447433324657
urban_small,mixed_random,baseline2_manual_risk_weighted_astar,none,3,0.3333333333333333,10.553363536888977,0.8828956903268894,0.5608739614851607,11389.0,9962.223972000174
urban_small,mixed_random,baseline3_ml_risk_weighted_astar,compare,3,0.6666666666666666,10.480256237671593,0.559392660856247,0.3472598317756616,9611.5,24706.970806500067
urban_small,mixed_random,baseline3_ml_risk_weighted_astar,main,3,0.6666666666666666,10.480629584997349,0.5492008030414581,0.3526215838609834,9885.0,28929.94319799982
urban_small,mixed_random,proposed_ml_risk_constrained_astar,compare,3,0.3333333333333333,10.346367607390134,0.563414454460144,0.47683449887484947,1574.0,1460.7406739996804
urban_small,mixed_random,proposed_ml_risk_constrained_astar,main,3,0.6666666666666666,10.356146958470239,0.5319439768791199,0.44222712698843836,1123.0,1275.243750500067
urban_small,pits,baseline1_2p5d_astar,none,3,1.0,10.054104035302409,0.0,0.0,127.0,2.557194666678697
urban_small,pits,baseline2_manual_risk_weighted_astar,none,3,1.0,10.326158470188568,0.4135295208100052,0.2676698396111536,10471.666666666666,8314.195674333405
urban_small,pits,baseline3_ml_risk_weighted_astar,compare,3,1.0,10.235844073901342,0.2678113679091136,0.17568638879162257,8026.0,24656.71199066643
urban_small,pits,baseline3_ml_risk_weighted_astar,main,3,1.0,10.2423558822727,0.27881022294362384,0.17780990790433562,7822.0,28707.42167466688
urban_small,pits,proposed_ml_risk_constrained_astar,compare,3,1.0,10.054104035302409,0.36379697918891907,0.2227951256625278,281.6666666666667,370.84443166637965
urban_small,pits,proposed_ml_risk_constrained_astar,main,3,1.0,10.054104035302409,0.34759466846783954,0.21916758403855274,266.6666666666667,434.44846600004894
urban_small,slope_bumps,baseline1_2p5d_astar,none,3,1.0,10.20703154003573,0.0,0.0,354.3333333333333,9.54834966675359
urban_small,slope_bumps,baseline2_manual_risk_weighted_astar,none,3,0.3333333333333333,10.737387479630673,0.925771546488007,0.4166014888956698,10231.0,17561.85145100062
